"yr";"tr"
-350;2,52578707107964
-300;2,4113079811588
-250;2,25468152436041
-200;2,14676039554701
-150;2,04727000958979
-100;1,28192539901204
-50;0
10;0,27
30;-1,66
50;-1,87
70;-1,48
90;-1,24
110;-0,99
130;-0,82
150;-0,89
170;-0,77
190;-0,69
210;-0,64
230;-0,57
250;-0,52
270;-0,43
290;-0,39
310;-0,37
330;-0,35
350;-0,35
370;-0,33
390;-0,34
410;-0,31
430;-0,35
450;-0,38
470;-0,35
490;-0,33
510;-0,43
530;-0,42
550;-0,37
570;-0,32
590;-0,29
610;-0,27
630;-0,24
650;-0,22
670;-0,23
690;-0,15
710;-0,18
730;-0,17
750;-0,16
770;-0,16
790;-0,16
810;-0,15
830;-0,15
850;-0,16
870;-0,17
890;-0,16
910;-0,15
930;-0,14
950;-0,14
970;-0,13
990;-0,1
1010;-0,06
1030;-0,04
1050;-0,03
1070;-0,01
1090;0
1110;0
1130;-0,01
1150;-0,01
1170;0
1190;0,02
1210;0,04
1230;0,05
1250;0,07
1270;0,08
1290;0,09
1310;0,1
1330;0,11
1350;0,13
1370;0,15
1390;0,16
1410;0,18
1430;0,19
1450;0,2
1470;0,21
1490;0,14
1510;0,15
1530;0,16
1550;0,15
1570;0,13
1590;0,1
1610;0,07
1630;0,05
1650;0,03
1670;0,02
1690;0,03
1710;0,04
1730;0,06
1750;0,07
1770;0,09
1790;0,1
1810;0,11
1830;0,12
1850;0,12
1870;0,12
1890;0,12
1910;0,12
1930;0,13
1950;0,14
1970;0,15
1990;0,16
2010;0,17
2030;0,18
2050;0,18
2070;0,19
2090;0,2
2110;0,21
2130;0,21
2150;0,22
2170;0,22
2190;0,22
2210;0,21
2230;0,2
2250;0,19
2270;0,19
2290;0,19
2310;0,21
2330;0,22
2350;0,23
2370;0,24
2390;0,25
2410;0,25
2430;0,25
2450;0,25
2470;0,24
2490;0,24
2510;0,23
2530;0,23
2550;0,22
2570;0,22
2590;0,22
2610;0,22
2630;0,22
2650;0,22
2670;0,22
2690;0,22
2710;0,21
2730;0,21
2750;0,22
2770;0,22
2790;0,22
2810;0,23
2830;0,23
2850;0,23
2870;0,23
2890;0,23
2910;0,22
2930;0,21
2950;0,2
2970;0,19
2990;0,18
3010;0,18
3030;0,17
3050;0,17
3070;0,17
3090;0,17
3110;0,18
3130;0,18
3150;0,18
3170;0,19
3190;0,19
3210;0,2
3230;0,21
3250;0,21
3270;0,22
3290;0,24
3310;0,26
3330;0,28
3350;0,28
3370;0,27
3390;0,26
3410;0,25
3430;0,24
3450;0,23
3470;0,21
3490;0,2
3510;0,2
3530;0,19
3550;0,19
3570;0,19
3590;0,2
3610;0,22
3630;0,24
3650;0,26
3670;0,28
3690;0,3
3710;0,31
3730;0,33
3750;0,34
3770;0,36
3790;0,36
3810;0,37
3830;0,38
3850;0,39
3870;0,39
3890;0,4
3910;0,42
3930;0,43
3950;0,44
3970;0,45
3990;0,46
4010;0,48
4030;0,49
4050;0,51
4070;0,52
4090;0,53
4110;0,54
4130;0,56
4150;0,57
4170;0,58
4190;0,58
4210;0,59
4230;0,59
4250;0,6
4270;0,61
4290;0,62
4310;0,62
4330;0,63
4350;0,64
4370;0,65
4390;0,65
4410;0,66
4430;0,66
4450;0,65
4470;0,64
4490;0,63
4510;0,62
4530;0,62
4550;0,61
4570;0,6
4590;0,59
4610;0,58
4630;0,58
4650;0,57
4670;0,57
4690;0,57
4710;0,57
4730;0,56
4750;0,57
4770;0,57
4790;0,57
4810;0,57
4830;0,58
4850;0,58
4870;0,58
4890;0,58
4910;0,58
4930;0,58
4950;0,58
4970;0,59
4990;0,59
5010;0,6
5030;0,61
5050;0,63
5070;0,64
5090;0,65
5110;0,66
5130;0,67
5150;0,68
5170;0,69
5190;0,71
5210;0,72
5230;0,72
5250;0,73
5270;0,73
5290;0,73
5310;0,72
5330;0,72
5350;0,72
5370;0,72
5390;0,72
5410;0,71
5430;0,71
5450;0,71
5470;0,71
5490;0,71
5510;0,71
5530;0,72
5550;0,72
5570;0,73
5590;0,74
5610;0,75
5630;0,76
5650;0,78
5670;0,79
5690;0,8
5710;0,81
5730;0,81
5750;0,82
5770;0,83
5790;0,83
5810;0,82
5830;0,81
5850;0,8
5870;0,79
5890;0,79
5910;0,79
5930;0,79
5950;0,79
5970;0,78
5990;0,79
6010;0,8
6030;0,81
6050;0,83
6070;0,84
6090;0,85
6110;0,85
6130;0,86
6150;0,86
6170;0,86
6190;0,86
6210;0,86
6230;0,86
6250;0,86
6270;0,86
6290;0,86
6310;0,86
6330;0,85
6350;0,85
6370;0,85
6390;0,85
6410;0,84
6430;0,84
6450;0,85
6470;0,86
6490;0,87
6510;0,88
6530;0,89
6550;0,9
6570;0,91
6590;0,92
6610;0,93
6630;0,93
6650;0,94
6670;0,95
6690;0,96
6710;0,97
6730;0,97
6750;0,97
6770;0,98
6790;0,99
6810;1,01
6830;1,02
6850;1,04
6870;1,06
6890;1,08
6910;1,1
6930;1,11
6950;1,12
6970;1,13
6990;1,14
7010;1,14
7030;1,14
7050;1,13
7070;1,12
7090;1,11
7110;1,1
7130;1,08
7150;1,07
7170;1,06
7190;1,05
7210;1,04
7230;1,03
7250;1,02
7270;1,02
7290;1,01
7310;1
7330;0,99
7350;0,97
7370;0,96
7390;0,95
7410;0,96
7430;0,96
7450;0,96
7470;0,97
7490;0,99
7510;1
7530;1,02
7550;1,03
7570;1,05
7590;1,06
7610;1,07
7630;1,06
7650;1,06
7670;1,04
7690;1,03
7710;1,02
7730;1,01
7750;0,99
7770;0,98
7790;0,98
7810;0,98
7830;0,97
7850;0,97
7870;0,97
7890;0,97
7910;0,96
7930;0,96
7950;0,96
7970;0,96
7990;0,95
8010;0,95
8030;0,95
8050;0,95
8070;0,94
8090;0,93
8110;0,91
8130;0,88
8150;0,85
8170;0,83
8190;0,83
8210;0,82
8230;0,81
8250;0,79
8270;0,77
8290;0,77
8310;0,78
8330;0,79
8350;0,81
8370;0,82
8390;0,82
8410;0,82
8430;0,81
8450;0,81
8470;0,82
8490;0,83
8510;0,85
8530;0,86
8550;0,88
8570;0,9
