AgeBP1950;Temp;1sigmauncert;Source
6500;0,24;0,14;Shakun
6600;0,24;0,14;Shakun
6700;0,25;0,14;Shakun
6800;0,27;0,14;Shakun
6900;0,27;0,14;Shakun
7000;0,27;0,14;Shakun
7100;0,29;0,14;Shakun
7200;0,31;0,14;Shakun
7300;0,32;0,14;Shakun
7400;0,30;0,14;Shakun
7500;0,29;0,14;Shakun
7600;0,27;0,13;Shakun
7700;0,28;0,13;Shakun
7800;0,28;0,13;Shakun
7900;0,26;0,13;Shakun
8000;0,25;0,13;Shakun
8100;0,21;0,13;Shakun
8200;0,16;0,14;Shakun
8300;0,21;0,13;Shakun
8400;0,23;0,13;Shakun
8500;0,23;0,14;Shakun
8600;0,22;0,13;Shakun
8700;0,22;0,14;Shakun
8800;0,21;0,13;Shakun
8900;0,23;0,13;Shakun
9000;0,19;0,13;Shakun
9100;0,21;0,13;Shakun
9200;0,19;0,13;Shakun
9300;0,20;0,13;Shakun
9400;0,19;0,14;Shakun
9500;0,17;0,14;Shakun
9600;0,13;0,14;Shakun
9700;0,09;0,14;Shakun
9800;0,05;0,14;Shakun
9900;0,02;0,14;Shakun
10000;-0,05;0,14;Shakun
10100;-0,10;0,14;Shakun
10200;-0,17;0,14;Shakun
10300;-0,22;0,14;Shakun
10400;-0,23;0,14;Shakun
10500;-0,25;0,14;Shakun
10600;-0,28;0,14;Shakun
10700;-0,34;0,14;Shakun
10800;-0,44;0,14;Shakun
10900;-0,54;0,15;Shakun
11000;-0,62;0,15;Shakun
11100;-0,72;0,15;Shakun
11200;-0,79;0,16;Shakun
11300;-0,90;0,16;Shakun
11400;-0,99;0,16;Shakun
11500;-1,09;0,17;Shakun
11600;-1,21;0,17;Shakun
11700;-1,46;0,18;Shakun
11800;-1,60;0,18;Shakun
11900;-1,71;0,17;Shakun
12000;-1,75;0,17;Shakun
12100;-1,86;0,17;Shakun
12200;-1,87;0,17;Shakun
12300;-1,94;0,16;Shakun
12400;-2,03;0,17;Shakun
12500;-2,12;0,17;Shakun
12600;-2,16;0,17;Shakun
12700;-2,12;0,17;Shakun
12800;-2,06;0,18;Shakun
12900;-1,95;0,18;Shakun
13000;-1,91;0,18;Shakun
13100;-1,87;0,17;Shakun
13200;-1,77;0,17;Shakun
13300;-1,66;0,17;Shakun
13400;-1,59;0,16;Shakun
13500;-1,59;0,15;Shakun
13600;-1,62;0,15;Shakun
13700;-1,62;0,15;Shakun
13800;-1,65;0,16;Shakun
13900;-1,70;0,16;Shakun
14000;-1,74;0,17;Shakun
14100;-1,76;0,18;Shakun
14200;-1,79;0,18;Shakun
14300;-1,86;0,20;Shakun
14400;-1,98;0,21;Shakun
14500;-2,12;0,22;Shakun
14600;-2,31;0,23;Shakun
14700;-2,50;0,23;Shakun
14800;-2,66;0,21;Shakun
14900;-2,77;0,19;Shakun
15000;-2,86;0,18;Shakun
15100;-2,91;0,17;Shakun
15200;-2,94;0,17;Shakun
15300;-2,96;0,17;Shakun
15400;-2,99;0,17;Shakun
15500;-3,03;0,16;Shakun
15600;-3,07;0,16;Shakun
15700;-3,10;0,16;Shakun
15800;-3,14;0,17;Shakun
15900;-3,18;0,17;Shakun
16000;-3,23;0,17;Shakun
16100;-3,27;0,17;Shakun
16200;-3,31;0,17;Shakun
16300;-3,35;0,18;Shakun
16400;-3,38;0,17;Shakun
16500;-3,42;0,17;Shakun
16600;-3,45;0,17;Shakun
16700;-3,48;0,17;Shakun
16800;-3,50;0,17;Shakun
16900;-3,52;0,17;Shakun
17000;-3,53;0,18;Shakun
17100;-3,58;0,18;Shakun
17200;-3,63;0,18;Shakun
17300;-3,64;0,19;Shakun
17400;-3,60;0,18;Shakun
17500;-3,58;0,18;Shakun
17600;-3,56;0,18;Shakun
17700;-3,55;0,17;Shakun
17800;-3,52;0,17;Shakun
17900;-3,52;0,17;Shakun
18000;-3,50;0,17;Shakun
18100;-3,50;0,17;Shakun
18200;-3,49;0,17;Shakun
18300;-3,47;0,17;Shakun
